Index,Label,Tweets
1,1,BREAKING: Recent report suggests Hawiian royal family responsible for engineering COVID-19 outbreak
2,1,I have never seen a country easing covid-19 lockdown when its confirmed cases are rising embarrassingly. 196 cases again on Wednesday night. We will soon discover that it is better to be alive than anything else.  A ma wa alright las las.
3,1,"With ample experience working with emerging and infectious diseases, FHS alumnus Greg Thomas-Reilly has been working on the frontlines of the #COVID19 crisis leading the COVID-19 Response Coordination Group for vulnerable populations."
4,1,Man with COVID19 developed peripheral limb ischemic necrosis on the right fingers/toes and gradually resulted in gangrene. Abnormal coagulation with markedly elevated D-dimer and fibrin degradation product are common in COVID19. 
5,1,"Nigeria records 7 deaths, 196 fresh COVID-19 cases "
6,1,Scientists are volunteering their time & nerve cells to solve #Covid_19. Never been prouder to be a nerd 
7,1,This was confirmed by the commissioner of health and the chairman of the task force on
8,1,Jigawa state has recorded its first covid 19 death and now has the total number of nine confirmed cases.
9,1,Tom Hanks donates his plasma to UCLA after beating COVID-19: As easy as taking a nap
10,1,"Kesha will be live for an online concert, set to stream this Friday to benefit ‘Sweet Relief Musicians COVID-19 Relief Fund’"
11,1,Lose your job because of #COVID19? PETA’s hiring!
12,1,"A little note about P=0.059 vs P<0.05.
A trial of only 1063 #COVID19 patients: 36/1000 or 31% mortality reduction; = to 31% time to recovery??
(primary endpoint). Survival benefit not expected.
P<0.05 is not an end-all threshold"
13,1,"If I was in prison, COVID-19 would not be my main concern. "
14,1,"For all those weedings  canceled because of Covid 19, God is giving you another chance to think about it.."
15,1,"Thanks to 50 autopsies carried out on patients who died from COVID-19, they found that it is NOT PNEUMONIA, strictly speaking, because the virus does not kill pneumocytes of its type only but uses an inflammatory storm to create an endothelial vascular thrombosis,"
16,1,programs & volunteers are doing vital work to provide people with much needed meals during this deeply difficult COVID-19 crisis. Thank you! I’ll continue to fight for expanded federal food assistance to help people who are struggling.
17,1,Register for this free event Thursday May 7 - listen to some great panelists - Talking High School Sports and COVID-19 | Sports and Society Initiative
18,1,"This blog is so much more than tmits headline important read on serious matters to consider #Covid19 #StaySafeJamaica Oxford University Study Ranks Jamaica Among Countries Least Prepared to Lift COVID-19 ""Lockdown"" Globally "
19,1,"Despite the best supportive care that we can provide, the crude case fatality rate for people who are admitted to hospital with severe Covid-19 is 35% to 40% which is similar to that for people admitted to hospital with Ebola"
20,1,"one of my family’s close friends had been in the hospital for a whole month and yesterday morning she passed away from covid-19 :( ,, please stay safe y’all"
21,1,"Whole Food is going to start requiring that customers wear masks. It has nothing to do with Covid-19. No, this way employees don't have to see your shocked expression when you realize what you're paying for 3 apples, 2 bananas and a salad."
22,1,Innalillahi first covid_19 case has been confirmed in Yobe May the Almighty protect us all and please stayhome and be safe...We will beat this together fam
23,1,"My cousin Rachael Kaplan deserves such recognition... instead of being at her graduation day (as a new Acute Care DNP), in a cap & gown...she spent her day in scrubs and PPE working in a Covid-19 ICU! She’s my hero and a rockstar"
24,1,"Tribal governments were supposed to get $8 billion in emergency COVID-19 aid from the CARES Act. More than a month later, they still haven't gotten any"
25,1,7 COVID 19 related deaths in Nigeria in the last 24 hours. Hmmm
26,1,You know I always knew I’d walk into a bank with a mask on some day... just didn’t think it was gonna be cuz of Covid-19 
27,1,"which makes me wonder,

has anyone checked if Adderall is the vaccine yet?"
28,1,"after all this time, and after shaking hands with large groups of people, Donald still hasn't had the virus."
29,1,A Government that downgrades Covid 19 so that.....the supply and the use of PPE can also be downgraded.......IS TAKING THE PISS
30,1,A Government that counts a glove (NOT A PAIR....BUT A SINGLE GLOVE) as 1 item of PPE equipment......Is taking the piss.
31,1,You know I always knew I’d walk into a bank with a mask on some day... just didn’t think it was gonna be cuz of Covid-19 
32,1,Told this chick vaccines are dangerous she called me a conspiracy theorist and i had to explain to her that although people did conspire these are no theories. Proceeded to show her the listed ingredients and she almost cried bout the aborted fetus part 
33,1,Time to let our voices be heard..hammer your Mayors your Govenors your Congress and your Senators..time to make OUR stand..NO VACCINES NO CHIPS NO MONITORING..God freed us from oppression over 2020 yeats ago when Jesus died on the cross and God rose Him up..STAND
34,1,What happened to the VACCINE for H1N1 SWINE FLU from 2009 also from China? Did it get developed? Was it safe? How many people have gotten it? As far as I’ve heard there is NO VACCINE! Have you heard anything abt it
35,1,scientists turn attention to COVID-19 vaccine with help from 'fast grant
36,1,Vaccines Are Critical. Here’s How You Can Help Spread the Word.
37,1,A step too far. What about the new 'higher dose' flu vaccine for our elderly that D.o.D reports can cause adverse reactions for recipients of flu vaccines who are exposed to coronavirus? Explains the deaths of older people
38,1,"I mean, what do you expect? There’s no vaccine, there’s no cure, We were never testing enough...Meaning a lot more people have it than we aware of"
39,1,Amazes me when NCDC puts out the daily corona cases tweet and everyone acts so shocked by the numbers. 
40,1,Last night I broke down praying for the healing in the world- I woke up today to news saying we might have a vaccine for September.
41,1,I think there will be a COVID-19 vaccine in May
